time;conc;serial
0;3.5;1
7;1.8;1
14;1.5;1
42;4.8;1
63;6.9;1
98;17.3;1
126;20.7;1
154;23.4;1
182;23.1;1
0;3.6;2
7;1.9;2
14;1.8;2
24;5.5;2
42;3.7;2
63;6.4;2
98;13.9;2
126;18.4;2
154;18.7;2
182;18.4;2
217;17.1;2
0;5.7;3
19;4.8;3
63;14.2;3
111;22.8;3
153;18.7;3
181;25.7;3
0;6.2;4
12;5.1;4
19;5;4
42;11.4;4
63;12.3;4
100;13.7;4
111;21.5;4
126;20.1;4
153;25.7;4
181;21.7;4
209;20.9;4
0;5.3;5
9;6.7;5
30;4.8;5
36;10.1;5
50;12.2;5
78;13.2;5
100;13.5;5
120;15.2;5
147;15.4;5
273;25.9;5
0;8.3;6
9;9.8;6
30;7.2;6
36;12.6;6
50;13;6
78;17;6
100;13.6;6
120;14.9;6
147;16.3;6
273;27;6
309;26.1;6
