time,conc,temp
0.0,1314.206405,67.3
3.9,1302.557412,67.3
8.9,1265.437112,67.3
18.9,1174.94008,67.3
28.9,1062.01439,67.3
58.9,870.8057257,67.3
88.9,753.2725979,67.3
118.9,668.0784668,67.3
178.9,514.9898292,67.3
208.9,464.2645481,67.3
238.9,414.7128596,67.3
268.9,393.5012596,67.3
298.9,330.8661867,67.3
328.9,288.5299195,67.3
358.9,250.6706908,67.3
0.0,1423.959048,69.8
4.0,1365.97488,69.8
9.0,1248.398285,69.8
14.0,1139.601903,69.8
19.0,1035.02176,69.8
29.0,872.1097175,69.8
39.0,702.1995857,69.8
59.0,515.2506276,69.8
89.0,369.0731465,69.8
119.0,244.281131,69.8
149.0,180.3855327,69.8
179.0,169.5189343,69.8
209.0,158.0003401,69.8
239.0,112.4910262,69.8
269.0,61.63534587,69.8
299.0,88.54104339,69.8
0.0,1378.6236,72.5
4.1,1228.186412,72.5
9.1,1065.839433,72.5
14.1,939.9172912,72.5
19.1,801.346429,72.5
24.1,688.8119365,72.5
29.1,564.8023161,72.5
39.1,519.5538005,72.5
59.1,257.7991794,72.5
89.1,157.6960753,72.5
119.1,167.7368122,72.5
149.1,115.012077,72.5
179.1,60.46175324,72.5
209.1,68.63343521,72.5
239.1,61.46148029,72.5
0.0,1357.803198,75
1.1,1286.387913,75
3.0,1196.977542,75
5.0,1084.443049,75
7.0,1019.547724,75
9.0,932.7453363,75
14.0,710.414734,75
19.0,591.6210808,75
29.0,372.5939244,75
39.0,181.6895245,75
59.0,80.23896225,75
0.0,1383.969966,75
1.1,1323.855944,75
3.0,1235.054103,75
5.0,1124.69293,75
7.0,1000.596376,75
9.0,962.9979462,75
14.0,694.2452357,75
19.0,565.1935136,75
29.0,336.1690867,75
39.0,255.5823933,75
59.0,132.3986343,75
0.0,1398.400809,75
1.1,1332.549223,75
3.0,1231.620257,75
5.0,1154.554342,75
7.0,1066.795694,75
9.0,918.792624,75
14.0,746.5353069,75
19.0,566.1932406,75
29.0,299.2661187,75
39.0,189.7308073,75
59.0,65.19959013,75
0.0,1287.518039,77.5
1.1,1214.2337,77.5
3.1,1087.57263,77.5
5.1,969.4309724,77.5
7.1,844.4216249,77.5
9.1,768.8335668,77.5
14.1,595.5765226,77.5
19.1,389.1546203,77.5
24.1,278.7065146,77.5
29.1,294.4848154,77.5
39.1,135.0500843,77.5
49.1,121.7059016,77.5
59.1,65.59078767,77.5
0.0,1313.206678,79.6
0.3,1253.266521,79.6
1.1,1208.713468,79.6
2.1,1104.785321,79.6
3.1,1014.201358,79.6
5.1,870.5449274,79.6
7.1,704.6337037,79.6
9.1,628.6109816,79.6
11.1,555.6743734,79.6
13.1,470.7410407,79.6
15.1,387.3724981,79.6
17.1,394.1532555,79.6
19.1,321.9121096,79.6
39.1,115.1424762,79.6
