time;conc;temp
0.0;0.35;35
42.0;0.28;35
56.0;0.29;35
70.0;0.27;35
98.0;0.22;35
115.0;0.25;35
140.0;0.22;35
209.0;0.14;35
0;0.35;35
29;0.3;35
56;0.23;35
70;0.26;35
98;0.2;35
115;0.24;35
140;0.2;35
0;0.35;35
22;0.34;35
35;0.34;35
49;0.28;35
63;0.26;35
91;0.19;35
108;0.22;35
133;0.22;35
202;0.14;35
0;0.35;35
22;0.35;35
35;0.31;35
49;0.23;35
63;0.28;35
91;0.19;35
108;0.21;35
133;0.2;35
0;0.42;35
7;0.45;35
14;0.39;35
21;0.44;35
28;0.46;35
56;0.43;35
84;0.31;35
98;0.26;35
119;0.22;35
0;0.42;35
28;0.45;35
42;0.27;35
49;0.32;35
56;0.32;35
119;0.19;35
0;0.42;35
28;0.46;35
35;0.38;35
42;0.31;35
119;0.31;35
0.0;0.35;50
29.0;0.2;50
42.0;0.15;50
56.0;0.1;50
70.0;0.1;50
98.0;0.08;50
115.0;0.07;50
140.0;0.06;50
0;0.35;50
29;0.2;50
42;0.14;50
56;0.11;50
70;0.09;50
115;0.07;50
140;0.06;50
0;0.35;50
22;0.23;50
35;0.18;50
49;0.12;50
63;0.12;50
91;0.08;50
108;0.07;50
133;0.06;50
0;0.35;50
22;0.22;50
35;0.18;50
49;0.12;50
63;0.1;50
133;0.06;50
0;0.42;50
14;0.3;50
28;0.2;50
42;0.15;50
56;0.17;50
63;0.14;50
84;0.12;50
98;0.09;50
119;0.08;50
0;0.42;50
14;0.28;50
28;0.22;50
35;0.24;50
42;0.17;50
49;0.12;50
70;0.12;50
98;0.09;50
119;0.08;50
0.0;0.36;72
0.3;0.35;72
0.4;0.32;72
0.5;0.32;72
1.0;0.26;72
2.0;0.25;72
3.0;0.15;72
5.2;0.12;72
6.0;0.1;72
7.1;0.1;72
8.0;0.09;72
0.0;0.36;85
0.1;0.29;85
0.3;0.26;85
0.4;0.22;85
0.5;0.22;85
1.0;0.13;85
1.5;0.11;85
2.0;0.07;85
3.0;0.05;85
5.2;0.03;85
6.0;0.03;85
0;0.32;120
0.000578704;0.32;120
0.001157407;0.32;120
0.002314815;0.31;120
0.00462963;0.27;120
0.011574074;0.23;120
0.034722222;0.16;120
0.05787037;0.13;120
0;0.31;130
0.000231481;0.31;130
0.000578704;0.31;130
0.001157407;0.28;130
0.002314815;0.28;130
0.005787037;0.23;130
0.011574074;0.19;130
0.023148148;0.13;130
0.05787037;0.06;130
0;0.39;140
0.000578704;0.36;140
0.001157407;0.34;140
0.003472222;0.29;140
0.006944444;0.21;140
0.011574074;0.15;140
0.017361111;0.12;140
0.023148148;0.1;140
0.034722222;0.07;140
0;0.39;150
0.000231481;0.38;150
0.000578704;0.35;150
0.001157407;0.28;150
0.003472222;0.2;150
0.006944444;0.15;150
0.011574074;0.1;150
