time;conc;temp
0;0.35;35
42;0.28;35
56;0.29;35
70;0.27;35
98;0.22;35
115;0.25;35
140;0.22;35
209;0.14;35
0;0.35;50
29;0.2;50
42;0.15;50
56;0.1;50
70;0.1;50
98;0.08;50
115;0.07;50
140;0.06;50
0;0.36;72
0.3;0.35;72
0.4;0.32;72
0.5;0.32;72
1;0.26;72
2;0.25;72
3;0.15;72
5.2;0.12;72
6;0.1;72
7.1;0.1;72
8;0.09;72
0;0.36;85
0.1;0.29;85
0.3;0.26;85
0.4;0.22;85
0.5;0.22;85
1;0.13;85
1.5;0.11;85
2;0.07;85
3;0.05;85
5.2;0.03;85
6;0.03;85
0;0.32;120
0.83;0.32;120
1.67;0.32;120
3.33;0.31;120
6.67;0.27;120
16.67;0.23;120
50.00;0.16;120
83.33;0.13;120
0.00;0.31;130
0.33;0.31;130
0.83;0.31;130
1.67;0.28;130
3.33;0.28;130
8.33;0.23;130
16.67;0.19;130
33.33;0.13;130
83.33;0.06;130
0.00;0.39;140
0.83;0.36;140
1.67;0.34;140
5.00;0.29;140
10.00;0.21;140
16.67;0.15;140
25.00;0.12;140
33.33;0.1;140
50.00;0.07;140
0.00;0.39;150
0.33;0.38;150
0.83;0.35;150
1.67;0.28;150
5.00;0.2;150
10.00;0.15;150
16.67;0.1;150
